City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
304,souillac,0,FR,1552382125,70,45.6,-0.6,48.0,5.82
305,houston,90,US,1552382076,93,29.76,-95.37,66.99,4.7
306,carbonia,0,IT,1552382107,85,39.17,8.53,55.99,11.41
307,miri,0,NG,1552382229,24,10.31,9.75,88.61,4.5
308,giresun,0,TR,1552377000,45,40.91,38.39,64.4,2.24
309,saint-augustin,0,FR,1552382124,65,44.83,-0.61,46.99,10.29
310,dubbo,0,AU,1552379400,22,-32.25,148.6,78.8,13.87
311,bayshore gardens,1,US,1552382210,100,27.43,-82.59,68.0,3.36
312,belaya gora,0,RU,1552382230,68,68.54,146.19,-15.39,5.39
313,namwala,68,ZM,1552382230,90,-15.75,26.45,72.18,7.96
314,novo aripuana,92,BR,1552382230,94,-5.12,-60.38,75.11,2.15
315,ola,0,RU,1552382231,95,59.58,151.3,11.61,4.72
316,hamilton,90,BM,1552381615,88,32.3,-64.78,66.2,12.75
317,ustye,76,RU,1552382231,100,58.76,27.79,25.34,15.23
318,kant,0,KG,1552379400,86,42.89,74.85,57.2,4.47
319,libreville,40,GA,1552377600,83,0.39,9.45,82.4,4.7
320,san cristobal,75,EC,1552382105,81,-0.39,-78.55,55.4,1.12
321,santa lucia,5,IT,1552377300,31,39.93,9.66,50.0,16.11
322,naze,12,NG,1552382233,88,5.43,7.07,84.96,5.95
323,rodeo,88,MX,1552382233,63,25.18,-104.56,56.03,2.26
324,lancaster,20,US,1552382036,55,40.04,-76.31,36.0,8.05
325,kenai,1,US,1552382224,68,60.55,-151.26,33.8,16.11
326,biltine,0,TD,1552382234,17,14.53,20.93,93.74,11.65
327,hongjiang,88,CN,1552382234,64,27.21,109.83,66.96,1.92
328,oksfjord,75,NO,1552382131,92,70.24,22.35,30.2,19.46
329,davila,75,PH,1552377600,70,18.47,120.58,84.2,6.93
330,vanderhoof,0,CA,1552382235,71,54.02,-124.02,24.48,5.61
331,brae,20,GB,1552378800,86,60.4,-1.35,42.8,20.8
332,nouakchott,0,MR,1552379400,17,18.08,-15.98,66.2,8.05
333,cambridge,90,GB,1552382053,76,52.2,0.12,50.0,23.04
334,lima,0,PE,1552381927,88,-12.06,-77.04,72.0,6.93
335,mitsamiouli,20,KM,1552381200,66,-11.38,43.28,89.6,14.99
336,molteno,92,ZA,1552382236,100,-31.4,26.36,57.83,9.19
337,eureka,90,US,1552382108,100,40.8,-124.16,46.99,4.7
338,manika,0,IN,1552382236,25,23.82,84.4,94.05,14.34
339,jalingo,12,NG,1552382236,18,10.21,12.82,91.89,7.63
340,vetluga,92,RU,1552382237,90,57.85,45.78,35.28,6.73
341,beboto,0,TD,1552382237,21,8.27,16.94,92.66,4.38
342,mackay,1,CA,1552377600,58,53.65,-115.58,30.2,6.93
343,morehead,1,US,1552381307,59,38.18,-83.43,37.4,4.7
344,pozhva,76,RU,1552382237,97,59.09,56.08,35.78,14.45
345,waipawa,88,NZ,1552382056,84,-39.94,176.59,63.0,3.04
346,krasnoarmeysk,40,RU,1552381510,63,56.12,38.15,32.0,11.18
347,ostrovnoy,0,RU,1552382238,89,68.05,39.51,21.96,12.44
348,nelson bay,64,AU,1552382158,69,-32.72,152.14,78.8,9.17
349,deloraine,0,CA,1552382238,78,49.18,-100.5,20.07,11.43
350,kaeo,0,NZ,1552382109,99,-35.1,173.78,64.0,9.64
351,taoudenni,0,ML,1552382238,23,22.68,-3.98,67.59,12.77
352,rio grande,92,BR,1552382239,90,-32.03,-52.1,73.08,15.01
